"currency_symbol","max_monthly_variance","max_variance_rank","high_variance_months","high_months_rank"
VEF,288899.1902834008097200,1,8,17
BDT,5046.9323779668607300,2,4,38
VES,2399.4385176866928700,3,37,1
LBP,505.9817432465894700,4,1,70
SYP,430.5301224359132000,5,2,55
VES,2399.4385176866928700,3,37,1
RUB,66.96936782283023000100,18,28,2
SCR,51.50507558377070303900,25,22,3
SLL,56.87238846052308168500,22,19,4
BTC,50.47291676390402741100,27,18,5
